number,advertiser,format,startDate,daysRunning,primaryText,headline,cta,keyword,link
1,"g his true identity.","Image/Unknown","2026-03-03",23,"Connor Reed, the most powerful arms dealer in the world, saves a Charlotte Hayes and spends the night with her while he is undercover. Four years later, while still hiding, Charlotte shows up... with their child. Now Connor must keep both of them safe... without revealing his true identity.","Active Library ID: 1682044576118322","Learn More","Digital Boss Mom","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Boss%20Mom&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
2,"his true identity.","Image/Unknown","2025-08-17",221,"Connor Reed, the most powerful arms dealer in the world, saves a Charlotte Hayes and spends the night with her while he is undercover. Four years later, while still hiding, Charlotte shows up... with their child. Now Connor must keep both of them safe... without revealing his true identity.","Active Library ID: 1915587922563975","Learn More","Digital Boss Mom","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Boss%20Mom&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
3,"d Bless!","Image/Unknown","2026-03-02",24,"Connor Reed, the most powerful arms dealer in the world, saves a Charlotte Hayes and spends the night with her while he is undercover. Four years later, while still hiding, Charlotte shows up... with their child. Now Connor must keep both of them safe... without revealing his true identity.","Active Library ID: 1415174206750788","Learn More","Digital Boss Mom","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Boss%20Mom&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
4,"0:00 / 29:06","Image/Unknown","2026-03-11",15,".. with their child. Now Connor must keep both of them safe... without revealing his true identity. Listen to one of the most interesting audio series “I'm Married to a Stranger” Only on the PocketFM app. Download Now! To find out, listen to the audioseries 'I'm Married to a Stranger' (FREE for a li","Active Library ID: 1277792437561801","Learn More","Digital Boss Mom","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Boss%20Mom&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
5,"Meta Ad Library","Image/Unknown","2024-03-05",751,"These results include ads that match your keyword search.","Active Library ID: 1553027725518311","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
6,"e ayudo a mi te invito a escribir la palabra YO en los comments!!","Image/Unknown","2025-11-17",129,"Si quieres aprender más acerca del curso que me ha impulsado a tener estos resultados: Todo lo que necesitas para comenzar está en el link 🔗 de mi perfil! (asegúrate de seguirme o sino no podré enviarte un MD)","Active Library ID: 858596190002136","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
7,"y-step marketing guides so you can start selling immediately.","Image/Unknown","2026-02-20",34,"I've helped thousands of people go from confused beginner to making consistent sales, and this toolkit eliminates all the guesswork. 🚀 Stop overthinking and start selling… get everything for only $4.95 today. While most entrepreneurs spend months trying to create their first product, a silent revol","Active Library ID: 1313499243941696","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
8,"Sponsored","Image/Unknown","2026-02-20",34,"Ready to build something online? Tap the link and take the first step today! 🚀 This Is Either Your Turning Point — Or Another Scroll. DWA became the one stop shop viral course on the internet for good reasons, It’s the only course you need that will actually teach you everything when it comes to ma","Active Library ID: 1567404301200718","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
9,"Sponsored","Image/Unknown","2026-01-31",54,"Ready to build something online? Tap the link and take the first step today! 🚀 This Is Either Your Turning Point — Or Another Scroll. DWA became the one stop shop viral course on the internet for good reasons, It’s the only course you need that will actually teach you everything when it comes to ma","Active Library ID: 2626293497766151","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
10,"e,” and I started learning the skills that could change everything.","Image/Unknown","2026-02-22",32,"That one decision led to me retiring my mom, building a multi-7-figure brand, teaching over 130k students around the world. Now I teach women how to create income, freedom, and confidence through digital marketing...without needing a degree, a following, or permission. & in the first 30 days I’ll sh","Active Library ID: 1915775692642282","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
